player,newLoc_x,newLoc_y,newBar_start_x,newBar_start_y,newBar_stop_x,newBar_stop_y,status
Enemy,-1,-1,-1,-1,-1,-1,2000
Me,5,2,-1,-1,-1,-1,0
Enemy,-1,-1,3,2,5,2,2000
Me,6,2,-1,-1,-1,-1,0
Enemy,-1,-1,5,2,7,2,2000
Me,7,2,-1,-1,-1,-1,0
Enemy,-1,-1,7,0,7,2,2000
Me,6,2,-1,-1,-1,-1,0
Enemy,4,9,-1,-1,-1,-1,2000
Me,5,2,-1,-1,-1,-1,0
Enemy,3,9,-1,-1,-1,-1,2000
Me,4,2,-1,-1,-1,-1,0
Enemy,3,8,-1,-1,-1,-1,2000
Me,3,2,-1,-1,-1,-1,0
Enemy,3,7,-1,-1,-1,-1,2000
Me,3,3,-1,-1,-1,-1,0
Enemy,3,6,-1,-1,-1,-1,2000
Me,-1,-1,1,2,3,2,0
Enemy,-1,-1,1,3,3,3,2000
Me,4,3,-1,-1,-1,-1,0
Enemy,-1,-1,3,3,5,3,2000
Me,5,3,-1,-1,-1,-1,0
Enemy,2,6,-1,-1,-1,-1,2000
Me,-1,-1,0,5,2,5,0
Enemy,-1,-1,5,1,5,3,2000
Me,-1,-1,2,5,2,7,0
Enemy,2,7,-1,-1,-1,-1,2000
Me,-1,-1,1,7,3,7,0
Enemy,-1,-1,2,8,4,8,2000
Me,4,3,-1,-1,-1,-1,0
Enemy,-1,-1,4,8,6,8,2000
Me,3,3,-1,-1,-1,-1,0
Enemy,-1,-1,0,8,2,8,2000
Me,2,3,-1,-1,-1,-1,0
Enemy,-1,-1,6,8,8,8,2000
Me,1,3,-1,-1,-1,-1,0
Enemy,1,7,-1,-1,-1,-1,2000
Me,1,4,-1,-1,-1,-1,0
Enemy,1,8,-1,-1,-1,-1,2000
Me,1,5,-1,-1,-1,-1,0
Enemy,2,8,-1,-1,-1,-1,2000
Me,2,5,-1,-1,-1,-1,0
Enemy,3,8,-1,-1,-1,-1,2000
Me,3,5,-1,-1,-1,-1,0
Enemy,4,8,-1,-1,-1,-1,2000
Me,3,6,-1,-1,-1,-1,0
Enemy,4,7,-1,-1,-1,-1,2000
Me,3,7,-1,-1,-1,-1,0
Enemy,-1,-1,-1,-1,-1,-1,2000
Me,5,7,-1,-1,-1,-1,0
Enemy,-1,-1,-1,-1,-1,-1,2000
Me,5,8,-1,-1,-1,-1,1
