player,newLoc_x,newLoc_y,newBar_start_x,newBar_start_y,newBar_stop_x,newBar_stop_y,status
Enemy,-1,-1,-1,-1,-1,-1,2000
Me,5,2,-1,-1,-1,-1,0
Enemy,5,8,-1,-1,-1,-1,2000
Me,5,3,-1,-1,-1,-1,0
Enemy,-1,-1,3,3,5,3,2000
Me,6,3,-1,-1,-1,-1,0
Enemy,-1,-1,5,3,7,3,2000
Me,7,3,-1,-1,-1,-1,0
Enemy,-1,-1,7,1,7,3,2000
Me,-1,-1,2,2,4,2,0
Enemy,4,8,-1,-1,-1,-1,2000
Me,-1,-1,1,1,3,1,0
Enemy,3,8,-1,-1,-1,-1,2000
Me,6,3,-1,-1,-1,-1,0
Enemy,-1,-1,3,1,3,3,2000
Me,-1,-1,0,2,2,2,0
Enemy,-1,-1,5,1,7,1,2000
Me,-1,-1,6,2,8,2,0
Enemy,-1,-1,7,4,9,4,2000
Me,5,3,-1,-1,-1,-1,0
Enemy,-1,-1,5,4,7,4,2000
Me,5,2,-1,-1,-1,-1,0
Enemy,-1,-1,3,4,5,4,2000
Me,5,1,-1,-1,-1,-1,0
Enemy,3,7,-1,-1,-1,-1,2000
Me,6,1,-1,-1,-1,-1,0
Enemy,3,6,-1,-1,-1,-1,2000
Me,7,1,-1,-1,-1,-1,0
Enemy,3,5,-1,-1,-1,-1,2000
Me,8,1,-1,-1,-1,-1,0
Enemy,3,4,-1,-1,-1,-1,2000
Me,8,2,-1,-1,-1,-1,0
Enemy,-1,-1,1,4,3,4,2000
Me,9,2,-1,-1,-1,-1,0
Enemy,-1,-1,1,3,1,5,2000
Me,9,3,-1,-1,-1,-1,0
Enemy,4,4,-1,-1,-1,-1,2000
Me,9,4,-1,-1,-1,-1,0
Enemy,5,4,-1,-1,-1,-1,2000
Me,8,4,-1,-1,-1,-1,0
Enemy,6,4,-1,-1,-1,-1,2000
Me,7,4,-1,-1,-1,-1,0
Enemy,8,4,-1,-1,-1,-1,2000
Me,6,4,-1,-1,-1,-1,0
Enemy,9,4,-1,-1,-1,-1,2000
Me,5,4,-1,-1,-1,-1,0
Enemy,9,3,-1,-1,-1,-1,2000
Me,4,4,-1,-1,-1,-1,0
Enemy,9,2,-1,-1,-1,-1,2000
Me,3,4,-1,-1,-1,-1,2
Enemy,9,1,-1,-1,-1,-1,1
Me,-1,-1,-1,-1,-1,-1,2
