player,newLoc_x,newLoc_y,newBar_start_x,newBar_start_y,newBar_stop_x,newBar_stop_y,status
Enemy,5,2,-1,-1,-1,-1,2000
Me,5,8,-1,-1,-1,-1,0
Enemy,-1,-1,3,1,5,1,2000
Me,5,7,-1,-1,-1,-1,0
Enemy,-1,-1,5,1,7,1,2000
Me,-1,-1,3,2,5,2,0
Enemy,-1,-1,1,1,3,1,2000
Me,-1,-1,5,2,7,2,0
Enemy,-1,-1,7,1,9,1,2000
Me,5,6,-1,-1,-1,-1,0
Enemy,4,2,-1,-1,-1,-1,2000
Me,-1,-1,3,0,3,2,0
Enemy,5,2,-1,-1,-1,-1,2000
Me,5,5,-1,-1,-1,-1,0
Enemy,6,2,-1,-1,-1,-1,2000
Me,5,4,-1,-1,-1,-1,0
Enemy,-1,-1,3,2,3,4,2000
Me,4,4,-1,-1,-1,-1,0
Enemy,-1,-1,3,4,3,6,2000
Me,-1,-1,7,3,9,3,0
Enemy,-1,-1,3,6,3,8,2000
Me,-1,-1,5,3,7,3,0
Enemy,-1,-1,3,4,5,4,2000
Me,5,4,-1,-1,-1,-1,0
Enemy,-1,-1,5,4,7,4,2000
Me,-1,-1,7,5,9,5,0
Enemy,7,2,-1,-1,-1,-1,2000
Me,6,4,-1,-1,-1,-1,0
Enemy,8,2,-1,-1,-1,-1,2000
Me,7,4,-1,-1,-1,-1,0
Enemy,8,3,-1,-1,-1,-1,2000
Me,8,4,-1,-1,-1,-1,0
Enemy,7,3,-1,-1,-1,-1,2000
Me,8,5,-1,-1,-1,-1,0
Enemy,6,3,-1,-1,-1,-1,2000
Me,7,5,-1,-1,-1,-1,0
Enemy,5,3,-1,-1,-1,-1,2000
Me,6,5,-1,-1,-1,-1,0
Enemy,5,4,-1,-1,-1,-1,2000
Me,-1,-1,5,5,7,5,0
Enemy,-1,-1,3,6,5,6,2000
Me,5,5,-1,-1,-1,-1,0
Enemy,6,4,-1,-1,-1,-1,2000
Me,5,6,-1,-1,-1,-1,0
Enemy,7,4,-1,-1,-1,-1,2000
Me,6,6,-1,-1,-1,-1,0
Enemy,8,4,-1,-1,-1,-1,2000
Me,6,7,-1,-1,-1,-1,0
Enemy,8,5,-1,-1,-1,-1,2000
Me,5,7,-1,-1,-1,-1,0
Enemy,7,5,-1,-1,-1,-1,2000
Me,4,7,-1,-1,-1,-1,0
Enemy,6,5,-1,-1,-1,-1,2000
Me,4,8,-1,-1,-1,-1,0
Enemy,5,5,-1,-1,-1,-1,2000
Me,4,9,-1,-1,-1,-1,0
Enemy,5,6,-1,-1,-1,-1,2000
Me,3,9,-1,-1,-1,-1,0
Enemy,6,6,-1,-1,-1,-1,2000
Me,-1,-1,5,6,7,6,0
Enemy,7,6,-1,-1,-1,-1,2000
Me,-1,-1,7,7,9,7,0
Enemy,8,6,-1,-1,-1,-1,2000
Me,3,8,-1,-1,-1,-1,0
Enemy,8,7,-1,-1,-1,-1,2000
Me,3,7,-1,-1,-1,-1,0
Enemy,7,7,-1,-1,-1,-1,2000
Me,-1,-1,5,7,7,7,0
Enemy,6,7,-1,-1,-1,-1,2000
Me,3,6,-1,-1,-1,-1,0
Enemy,5,7,-1,-1,-1,-1,2000
Me,3,5,-1,-1,-1,-1,0
Enemy,5,8,-1,-1,-1,-1,2000
Me,3,4,-1,-1,-1,-1,0
Enemy,5,9,-1,-1,-1,-1,1
Me,-1,-1,-1,-1,-1,-1,2
